url,meta_refresh,meta_title,meta_description,meta_keywords,img,img_alt,text,items
shop_menu/set/br/1001-116.html,,KTS-web 工賃セットメニュー RS★R 車高調/セッティングパーツパーツ,足回り系パーツの老舗です。モータースポーツから日常生活に至るまであらゆる場面活躍しています。純正ショックにもかかわらず、ショーモデル並みの超ローダウンを実現するダウンサス「スーパーダウン」から高過ぎず低すぎない丁度いい「ハーフダウン」までラインナップも充実です。勿論Ti2000スプリングを採用した車高調もあります!,,/assets/img/brand/bc_img/1001.gif,,足回り系パーツの老舗です。モータースポーツから日常生活に至るまであらゆる場面活躍しています。純正ショックにもかかわらず、ショーモデル並みの超ローダウンを実現するダウンサス「スーパーダウン」から高過ぎず低すぎない丁度いい「ハーフダウン」までラインナップも充実です。勿論Ti2000スプリングを採用した車高調もあります!,"[{""link"": ""/shop_menu/set/item/10131.php"", ""image"": ""/assets/img/item_img/10131_1.jpg"", ""image_alt"": ""Best☆i [ベストアイ]"", ""text"": ""Best☆i [ベストアイ]""}, {""link"": ""/shop_menu/set/item/10132.php"", ""image"": ""/assets/img/item_img/10132_1.jpg"", ""image_alt"": ""Best☆i Active [ベストアイ アクティブ]"", ""text"": ""Best☆i Active [ベストアイ アクティブ]""}, {""link"": ""/shop_menu/set/item/10133.php"", ""image"": ""/assets/img/item_img/10133_1.jpg"", ""image_alt"": ""Basic☆i [ベーシックアイ]"", ""text"": ""Basic☆i [ベーシックアイ]""}, {""link"": ""/shop_menu/set/item/10134.php"", ""image"": ""/assets/img/item_img/10134_1.jpg"", ""image_alt"": ""Basic☆i Active [ベーシンクアイ アクティブ]"", ""text"": ""Basic☆i Active [ベーシンクアイ アクティブ]""}, {""link"": ""/shop_menu/set/item/10135.php"", ""image"": ""/assets/img/item_img/10135_1.jpg"", ""image_alt"": ""Best☆i C&K [ベストアイ コンパクトカー＆Kカー]"", ""text"": ""Best☆i C&K [ベストアイ コンパクトカー＆Kカー]""}, {""link"": ""/shop_menu/set/item/10136.php"", ""image"": ""/assets/img/item_img/10136_1.jpg"", ""image_alt"": ""Black☆i [ブラックアイ]"", ""text"": ""Black☆i [ブラックアイ]""}, {""link"": ""/shop_menu/set/item/10137.php"", ""image"": ""/assets/img/item_img/10137_1.jpg"", ""image_alt"": ""Black☆i Active [ブラックアイ アクティブ]"", ""text"": ""Black☆i Active [ブラックアイ アクティブ]""}, {""link"": ""/shop_menu/set/item/10138.php"", ""image"": ""/assets/img/item_img/10138_1.jpg"", ""image_alt"": ""Super☆i [スーパーアイ]"", ""text"": ""Super☆i [スーパーアイ]""}, {""link"": ""/shop_menu/set/item/10139.php"", ""image"": ""/assets/img/item_img/10139_1.jpg"", ""image_alt"": ""Sports☆i [スポーツアイ]"", ""text"": ""Sports☆i [スポーツアイ]""}, {""link"": ""/shop_menu/set/item/10140.php"", ""image"": ""/assets/img/item_img/10140_1.jpg"", ""image_alt"": ""TP Best☆i [トランポ ベストアイ]"", ""text"": ""TP Best☆i [トランポ ベストアイ]""}, {""link"": ""/shop_menu/set/item/10141.php"", ""image"": ""/assets/img/item_img/10141_1.jpg"", ""image_alt"": ""TP Basic☆i [トランポ ベーシックアイ]"", ""text"": ""TP Basic☆i [トランポ ベーシックアイ]""}, {""link"": ""/shop_menu/set/item/10142.php"", ""image"": ""/assets/img/item_img/10142_1.jpg"", ""image_alt"": ""Racing☆i [レーシングアイ]"", ""text"": ""Racing☆i [レーシングアイ]""}]"
shop_menu/set/br/1001-117.html,,KTS-web 工賃セットメニュー RS★R ダウンサス/アップサスパーツ,足回り系パーツの老舗です。モータースポーツから日常生活に至るまであらゆる場面活躍しています。純正ショックにもかかわらず、ショーモデル並みの超ローダウンを実現するダウンサス「スーパーダウン」から高過ぎず低すぎない丁度いい「ハーフダウン」までラインナップも充実です。勿論Ti2000スプリングを採用した車高調もあります!,,/assets/img/brand/bc_img/1001.gif,,足回り系パーツの老舗です。モータースポーツから日常生活に至るまであらゆる場面活躍しています。純正ショックにもかかわらず、ショーモデル並みの超ローダウンを実現するダウンサス「スーパーダウン」から高過ぎず低すぎない丁度いい「ハーフダウン」までラインナップも充実です。勿論Ti2000スプリングを採用した車高調もあります!,"[{""link"": ""/shop_menu/set/item/10144.php"", ""image"": ""/assets/img/item_img/10144_1.jpg"", ""image_alt"": ""RS☆R DOWN [RS-R ダウン]"", ""text"": ""RS☆R DOWN [RS-R ダウン]""}, {""link"": ""/shop_menu/set/item/10145.php"", ""image"": ""/assets/img/item_img/10145_1.jpg"", ""image_alt"": ""RS☆R HARD DOWN [RS-R ハードダウン]"", ""text"": ""RS☆R HARD DOWN [RS-R ハードダウン]""}, {""link"": ""/shop_menu/set/item/10146.php"", ""image"": ""/assets/img/item_img/10146_1.jpg"", ""image_alt"": ""RS☆R SUPER DOWN [RS-R スーパーダウン]"", ""text"": ""RS☆R SUPER DOWN [RS-R スーパーダウン]""}, {""link"": ""/shop_menu/set/item/10147.php"", ""image"": ""/assets/img/item_img/10147_1.jpg"", ""image_alt"": ""Ti2000 DOWN [Ti2000 ダウン]"", ""text"": ""Ti2000 DOWN [Ti2000 ダウン]""}, {""link"": ""/shop_menu/set/item/10148.php"", ""image"": ""/assets/img/item_img/10148_1.jpg"", ""image_alt"": ""Ti2000 SUPER DOWN [Ti2000 スーパーダウン]"", ""text"": ""Ti2000 SUPER DOWN [Ti2000 スーパーダウン]""}, {""link"": ""/shop_menu/set/item/10149.php"", ""image"": ""/assets/img/item_img/10149_1.jpg"", ""image_alt"": ""Ti2000 HARD DOWN [Ti2000 ハードダウン]"", ""text"": ""Ti2000 HARD DOWN [Ti2000 ハードダウン]""}, {""link"": ""/shop_menu/set/item/10150.php"", ""image"": ""/assets/img/item_img/10150_1.jpg"", ""image_alt"": ""Ti2000 HALF DOWN [Ti2000 ハーフダウン]"", ""text"": ""Ti2000 HALF DOWN [Ti2000 ハーフダウン]""}, {""link"": ""/shop_menu/set/item/10151.php"", ""image"": ""/assets/img/item_img/10151_1.jpg"", ""image_alt"": ""Ti2000 Hi-Road [Ti2000 ハイロード]"", ""text"": ""Ti2000 Hi-Road [Ti2000 ハイロード]""}]"
shop_menu/set/br/1005-130.html,,KTS-web 工賃セットメニュー ACRE ブレーキパッド/シューパーツ,,,/assets/img/brand/bc_img/1005.gif,,ACRE(アクレ)はスポーツブレーキパッドのトップメーカーです。アクレのブレーキパッドは低温から高温まで安定した制動力を発揮し、特殊技術を用いることで耐久性にも優れています。,"[{""link"": ""/shop_menu/set/brake/acre.html"", ""image"": ""/assets/img/item_img/10414_1.jpg"", ""image_alt"": ""ACRE"", ""text"": ""Super-Fighter[スーパーファイター]""}]"
shop_menu/set/br/1008-116.html,,KTS-web 工賃セットメニュー A'PEXi 車高調/セッティングパーツパーツ,圧倒的な排気効率を実現するメガホン構造マフラーをはじめ、業界初となる純正置き換え型フルコンピューターのPOWER FCなど、電装系パーツでも業界をリードし続けています。,,/assets/img/brand/bc_img/1008.gif,,圧倒的な排気効率を実現するメガホン構造マフラーをはじめ、業界初となる純正置き換え型フルコンピューターのPOWER FCなど、電装系パーツでも業界をリードし続けています。,"[{""link"": ""/shop_menu/set/item/10002.php"", ""image"": ""/assets/img/item_img/10002_1.jpg"", ""image_alt"": ""N1 evolution DAMPER [N1エボリューションダンパー]"", ""text"": ""N1 evolution DAMPER [N1エボリューションダンパー]""}]"
shop_menu/set/br/1008-143.html,,KTS-web 工賃セットメニュー A'PEXi エアクリーナーパーツ,圧倒的な排気効率を実現するメガホン構造マフラーをはじめ、業界初となる純正置き換え型フルコンピューターのPOWER FCなど、電装系パーツでも業界をリードし続けています。,,/assets/img/brand/bc_img/1008.gif,,圧倒的な排気効率を実現するメガホン構造マフラーをはじめ、業界初となる純正置き換え型フルコンピューターのPOWER FCなど、電装系パーツでも業界をリードし続けています。,"[{""link"": ""/shop_menu/set/intake/apex_intake_box.html"", ""image"": ""/assets/img/item_img/10626_1.jpg"", ""image_alt"": ""A'PEXi"", ""text"": ""パワーインテーク&アルミインダクションボックス""}]"
shop_menu/set/br/1010-116.html,,KTS-web 工賃セットメニュー Aragosta 車高調/セッティングパーツパーツ,アラゴスタの拘りは性能を最優先にすること。Aragostaはオランダの老舗サスペンションメーカーと日本のメーカーの共同開発により誕生しました。レーシングスペックなタイプSSから、ストリート性能を優先したタイプEまで幅広いラインナップです。カスタムパーツとしては高額な部類に入りますが、その性能は折り紙付きです。,,/assets/img/brand/bc_img/1010.gif,,アラゴスタの拘りは性能を最優先にすること。Aragostaはオランダの老舗サスペンションメーカーと日本のメーカーの共同開発により誕生しました。レーシングスペックなタイプSSから、ストリート性能を優先したタイプEまで幅広いラインナップです。カスタムパーツとしては高額な部類に入りますが、その性能は折り紙付きです。,"[{""link"": ""/shop_menu/set/item/10003.php"", ""image"": ""/assets/img/item_img/10003_1.jpg"", ""image_alt"": ""TYPE-S [タイプS]"", ""text"": ""TYPE-S [タイプS]""}, {""link"": ""/shop_menu/set/item/10004.php"", ""image"": ""/assets/img/item_img/10004_1.jpg"", ""image_alt"": ""TYPE-P [タイプP]"", ""text"": ""TYPE-P [タイプP]""}, {""link"": ""/shop_menu/set/item/10005.php"", ""image"": ""/assets/img/item_img/10005_1.jpg"", ""image_alt"": ""TYPE-SS [タイプSS]"", ""text"": ""TYPE-SS [タイプSS]""}, {""link"": ""/shop_menu/set/item/10006.php"", ""image"": ""/assets/img/item_img/10006_1.jpg"", ""image_alt"": ""TYPE-E [タイプE]"", ""text"": ""TYPE-E [タイプE]""}, {""link"": ""/shop_menu/set/item/10007.php"", ""image"": ""/assets/img/item_img/10007_1.jpg"", ""image_alt"": ""TYPE-C [タイプC]"", ""text"": ""TYPE-C [タイプC]""}, {""link"": ""/shop_menu/set/item/10008.php"", ""image"": ""/assets/img/item_img/10008_1.jpg"", ""image_alt"": ""TYPE-W [タイプW]"", ""text"": ""TYPE-W [タイプW]""}, {""link"": ""/shop_menu/set/item/10009.php"", ""image"": ""/assets/img/item_img/10009_1.jpg"", ""image_alt"": ""TYPE-SA [タイプSA]"", ""text"": ""TYPE-SA [タイプSA]""}, {""link"": ""/shop_menu/set/item/10010.php"", ""image"": ""/assets/img/item_img/10010_1.jpg"", ""image_alt"": ""Aragosta-CUP [アラゴスタカップ]"", ""text"": ""Aragosta-CUP [アラゴスタカップ]""}]"
shop_menu/set/br/1012-116.html,,KTS-web 工賃セットメニュー IDEAL 車高調/セッティングパーツパーツ,エアーサスペンションやコイルオーバー車高調、ブレーキシステムなど、MADE IN JAPANのアフターパーツをはじめ、様々なカー用品を取り扱うドレスアップ総合メーカーです。比較的リーズナブルな価格帯のため沢山の愛用者がいます。,,/assets/img/brand/bc_img/1012.gif,,エアーサスペンションやコイルオーバー車高調、ブレーキシステムなど、MADE IN JAPANのアフターパーツをはじめ、様々なカー用品を取り扱うドレスアップ総合メーカーです。比較的リーズナブルな価格帯のため沢山の愛用者がいます。,"[{""link"": ""/shop_menu/set/item/10088.php"", ""image"": ""/assets/img/item_img/10088_1.jpg"", ""image_alt"": ""TRUEVA [トゥルーヴァ]"", ""text"": ""TRUEVA [トゥルーヴァ]""}, {""link"": ""/shop_menu/set/item/10089.php"", ""image"": ""/assets/img/item_img/10089_1.jpg"", ""image_alt"": ""TRUEVA極 [トゥルーヴァきわみ]"", ""text"": ""TRUEVA極 [トゥルーヴァきわみ]""}, {""link"": ""/shop_menu/set/item/10090.php"", ""image"": ""/assets/img/item_img/10090_1.jpg"", ""image_alt"": ""HYPER FOOT [ハイパーフット]"", ""text"": ""HYPER FOOT [ハイパーフット]""}, {""link"": ""/shop_menu/set/item/10091.php"", ""image"": ""/assets/img/item_img/10091_1.jpg"", ""image_alt"": ""ANY ONE [エニーワン]"", ""text"": ""ANY ONE [エニーワン]""}]"
shop_menu/set/br/1017-130.html,,KTS-web 工賃セットメニュー Weds Sports ブレーキパッド/シューパーツ,アルミホイールをメインに展開するウェッズ。1985年のJTCCから現在のスーパーGTにも参戦し、長い歴史の中で様々な製品を販売しています。,,/assets/img/brand/bc_img/1017.gif,,アルミホイールをメインに展開するウェッズ。1985年のJTCCから現在のスーパーGTにも参戦し、長い歴史の中で様々な製品を販売しています。,"[{""link"": ""/shop_menu/set/brake/weds_revspec.html"", ""image"": ""/assets/img/item_img/10410_1.jpg"", ""image_alt"": ""Weds Sports"", ""text"": ""REVSPEC PRIMES[レブスペック プライムス]""}, {""link"": ""/shop_menu/set/brake/weds_revspec.html"", ""image"": ""/assets/img/item_img/10411_1.jpg"", ""image_alt"": ""Weds Sports"", ""text"": ""REVSPEC TC[レブスペック テクニカルコントロール]""}]"
shop_menu/set/br/1017-133.html,,KTS-web 工賃セットメニュー Weds Sports その他ブレーキ系パーツ,アルミホイールをメインに展開するウェッズ。1985年のJTCCから現在のスーパーGTにも参戦し、長い歴史の中で様々な製品を販売しています。,,/assets/img/brand/bc_img/1017.gif,,アルミホイールをメインに展開するウェッズ。1985年のJTCCから現在のスーパーGTにも参戦し、長い歴史の中で様々な製品を販売しています。,"[{""link"": ""/shop_menu/set/brake/brake_fluid.html"", ""image"": ""/assets/img/item_img/10548_1.jpg"", ""image_alt"": ""Weds Sports"", ""text"": ""REV FLUID[ブレーキフルード]""}]"
shop_menu/set/br/1019-120.html,,KTS-web 工賃セットメニュー ULTRA RACING ロッド/アーム/リンク類パーツ,ウルトラレーシングは2002年に設立したシャーシやチューニングパーツの専門メーカーです。ヨーロッパやアジアなど世界14ヶ国以上の国々へ拠点を置き、世界中で信頼されているブランドです。,,/assets/img/brand/bc_img/1019.gif,,ウルトラレーシングは2002年に設立したシャーシやチューニングパーツの専門メーカーです。ヨーロッパやアジアなど世界14ヶ国以上の国々へ拠点を置き、世界中で信頼されているブランドです。,"[{""link"": ""/shop_menu/set/item/10556.php"", ""image"": ""/assets/img/item_img/10556_1.jpg"", ""image_alt"": ""ULTRA RACING"", ""text"": ""フロントスタビライザー""}, {""link"": ""/shop_menu/set/item/10565.php"", ""image"": ""/assets/img/item_img/10565_1.jpg"", ""image_alt"": ""ULTRA RACING"", ""text"": ""リアスタビライザー""}, {""link"": ""/shop_menu/set/item/10562.php"", ""image"": ""/assets/img/item_img/10562_1.jpg"", ""image_alt"": ""ULTRA RACING"", ""text"": ""ラテラルロッド""}]"
