url,meta_refresh,meta_title,meta_description,meta_keywords,prod_name,pdf,text,logo,logo_alt,items
tire_wheel/wheel/bbs/fs.html,,KTS-web タイヤ・ホイール館 BBS,KTSではBBS製ホイールの販売を行っております。アライメント調整を含むお得なセットメニューもございます。,"BBS,ホイール,FS,アルミ,販売,装着",Forged aluminium 1piece FS,tire_wheel/wheel/bbs/bbs_fs.pdf,"
【カラーバリエーション】
・DS=ダイヤモンドシルバー
・DB=ダイヤモンドブラック
・MB=マットブラック
【付属部品】
・センターエンブレム
・バルブ
・ボルト/ナット
・ハブリング（PFS仕様サイズのみ付属）

",/assets/img/tire_wheel/wheel/img/logo.gif,BBS,"[{""image"": ""tire_wheel/wheel/bbs/img/fs_ds.jpg"", ""image_alt"": ""ダイヤモンドシルバー（DS）""}]"
tire_wheel/wheel/bbs/fz_mg.html,,KTS-web タイヤ・ホイール館 BBS,KTSではBBS製ホイールの販売を行っております。アライメント調整を含むお得なセットメニューもございます。,"BBS,ホイール,FZ-MG,マグネシウム,販売,装着",Forged magnesium 1piece FZ-MG,tire_wheel/wheel/bbs/bbs_fz_mg.pdf,"
【カラーバリエーション】
・DS=ダイヤモンドシルバー
・DB=ダイヤモンドブラック
【付属部品】
・センターエンブレム
・バルブ
・ボルト/ナット
・ハブリング（PFS仕様サイズのみ付属）

",/assets/img/tire_wheel/wheel/img/logo.gif,BBS,"[{""image"": ""tire_wheel/wheel/bbs/img/fz_mg_ds.jpg"", ""image_alt"": ""ダイヤモンドシルバー（DS）""}]"
tire_wheel/wheel/bbs/lm.html,,KTS-web タイヤ・ホイール館 BBS,KTSではBBS製ホイールの販売を行っております。アライメント調整を含むお得なセットメニューもございます。,"BBS,ホイール,LM,アルミニウム,販売,装着",Forged aluminium 2piece LM,tire_wheel/wheel/bbs/bbs_lm.pdf,"
【カラーバリエーション】
・DS-SLD=ディスク：ダイヤモンドシルバー/リム：シルバーダイヤカット
・GL-SLD=ディスク：ゴールド/リム：シルバーダイヤカット
【付属部品】
・センターエンブレム（BBSロゴ・ゴールド）
・エアバルブ
・ボルト/ナット（純正ボルト/ナットを使用するサイズには付属しません）
・ハブリング（PFS仕様サイズのみ付属）

",/assets/img/tire_wheel/wheel/img/logo.gif,BBS,"[{""image"": ""tire_wheel/wheel/bbs/img/lm_ds_sld.jpg"", ""image_alt"": ""ディスク：ダイヤモンドシルバー/リム：シルバーダイヤカット（DS-SLD）""}]"
tire_wheel/wheel/bbs/lm_r.html,,KTS-web タイヤ・ホイール館 BBS,KTSではBBS製ホイールの販売を行っております。アライメント調整を含むお得なセットメニューもございます。,"BBS,ホイール,LM-R,アルミニウム,販売,装着",Forged aluminium 2piece LM-R,tire_wheel/wheel/bbs/bbs_lm_r.pdf,"
【カラーバリエーション】
・DS-SLD=ディスク：ダイヤモンドシルバー/リム：シルバーダイヤカット
【付属部品】
・センターエンブレム（BBSロゴ・ゴールド）
・エアバルブ
・ボルト/ナット（純正ボルト/ナットを使用するサイズには付属しません）
・ハブリング（PFS仕様サイズのみ付属）

",/assets/img/tire_wheel/wheel/img/logo.gif,BBS,"[{""image"": ""tire_wheel/wheel/bbs/img/lm_r_ds_sld.jpg"", ""image_alt"": ""ディスク：ダイヤモンドシルバー/リム：シルバーダイヤカット（DS-SLD）""}]"
tire_wheel/wheel/bbs/re_v.html,,KTS-web タイヤ・ホイール館 BBS,KTSではBBS製ホイールの販売を行っております。アライメント調整を含むお得なセットメニューもございます。,"BBS,ホイール,RE-V,アルミ,販売,装着",Forged aluminium 1piece RE-V,tire_wheel/wheel/bbs/bbs_re_v.pdf,"
【カラーバリエーション】
・DS=ダイヤモンドシルバー
・DB=ダイヤモンドブラック
・MGR=マットグレイ
【付属部品】
・センターエンブレム（BBSロゴ・ゴールド）
・エアバルブ（TR412）
・ボルト/ナット（純正ボルト/ナットを使用するサイズには付属しません）
・ハブリング（PFS仕様サイズのみ付属）

",/assets/img/tire_wheel/wheel/img/logo.gif,BBS,"[{""image"": ""tire_wheel/wheel/bbs/img/re_v_ds.jpg"", ""image_alt"": ""ダイヤモンドシルバー（DS）""}]"
tire_wheel/wheel/bbs/rf.html,,KTS-web タイヤ・ホイール館 BBS,KTSではBBS製ホイールの販売を行っております。アライメント調整を含むお得なセットメニューもございます。,"BBS,ホイール,RF,アルミ,販売,装着",Forged aluminium 1piece RF,tire_wheel/wheel/bbs/bbs_re_v.pdf,"
【カラーバリエーション】
・DS=ダイヤモンドシルバー
・DB=ダイヤモンドブラック
・MGR=マットグレイ
【付属部品】
・センターエンブレム
・エアバルブ
・ボルト/ナット（純正ボルト/ナットを使用するサイズには付属しません）
・ハブリング（PFS仕様サイズのみ付属）

",/assets/img/tire_wheel/wheel/img/logo.gif,BBS,"[{""image"": ""tire_wheel/wheel/bbs/img/rf_ds.jpg"", ""image_alt"": ""ダイヤモンドシルバー（DS）""}]"
tire_wheel/wheel/bbs/rg_f.html,,KTS-web タイヤ・ホイール館 BBS,KTSではBBS製ホイールの販売を行っております。アライメント調整を含むお得なセットメニューもございます。,"BBS,ホイール,RG-F,アルミ,販売,装着",Forged aluminium 1piece RG-F,tire_wheel/wheel/bbs/bbs_rg_f.pdf,"
【カラーバリエーション】
・GL=ゴールド
・SL=シルバー
・BBD=ブルーブラックダイヤカット
・DB=ダイヤモンドブラック
【付属部品】
・センターエンブレム（BBSロゴ・ゴールド）
・エアバルブ
・ボルト/ナット（純正ボルト/ナットを使用するサイズには付属しません）
・ハブリング（PFS仕様サイズのみ付属）

",/assets/img/tire_wheel/wheel/img/logo.gif,BBS,"[{""image"": ""tire_wheel/wheel/bbs/img/rg_f_gl.jpg"", ""image_alt"": ""ゴールド（GL）""}]"
tire_wheel/wheel/bbs/rg_r.html,,KTS-web タイヤ・ホイール館 BBS,KTSではBBS製ホイールの販売を行っております。アライメント調整を含むお得なセットメニューもございます。,"BBS,ホイール,RG-R,アルミ,販売,装着",Forged aluminium 1piece RG-R,tire_wheel/wheel/bbs/bbs_rg_r.pdf,"
【カラーバリエーション】
・DB=ダイヤモンドブラック
・DS=ダイヤモンドシルバー
・GLD=ゴールドダイヤカット（受注生産）
・SLD=シルバーダイヤカット（受注生産）
・BKD=ブラックダイヤカット（受注生産）
【付属部品】
・センターエンブレム（BBSロゴ・ゴールド）
・エアバルブ
・ボルト/ナット（純正ボルト/ナットを使用するサイズには付属しません）
・ハブリング（PFS仕様サイズのみ付属）

",/assets/img/tire_wheel/wheel/img/logo.gif,BBS,"[{""image"": ""tire_wheel/wheel/bbs/img/rg_r_db.jpg"", ""image_alt"": ""ダイヤモンドブラック（DB）""}]"
tire_wheel/wheel/bbs/ri_a.html,,KTS-web タイヤ・ホイール館 BBS,KTSではBBS製ホイールの販売を行っております。アライメント調整を含むお得なセットメニューもございます。,"BBS,ホイール,RI-A,アルミ,販売,装着",Forged aluminium 1piece RI-A,tire_wheel/wheel/bbs/bbs_ri_a.pdf,"
【カラーバリエーション】
・DS=ダイヤモンドシルバー
・DB=ダイヤモンドブラック
・GL=ゴールド
・MGR=マットグレイ
【付属部品】
・センターエンブレム（BBSロゴ・ゴールド）
・ゴムバルブ（TR412）
・ボルト/ナット
・ハブリング（PFS仕様サイズのみ付属）

",/assets/img/tire_wheel/wheel/img/logo.gif,BBS,"[{""image"": ""tire_wheel/wheel/bbs/img/ri_a_ds.jpg"", ""image_alt"": ""ダイヤモンドシルバー（DS）""}]"
tire_wheel/wheel/bbs/ri_d.html,,KTS-web タイヤ・ホイール館 BBS,KTSではBBS製ホイールの販売を行っております。アライメント調整を含むお得なセットメニューもございます。,"BBS,ホイール,RI-D,ジュラルミン,販売,装着",Forged duralumin 1piece RI-D,tire_wheel/wheel/bbs/bbs_ri_d.pdf,"
【カラーバリエーション】
・DS=ダイヤモンドシルバー
・DB=ダイヤモンドブラック
・MB=マットブラック
【付属部品】
・センターエンブレム ジュラタイプ（BBSロゴ・ゴールド）
※一部のタイプ（RI016/017/026/027/028/029）のセンターエンブレムはブラックになります。
・エアバルブ
・ボルト/ナット（純正ボルト/ナットを使用するサイズには付属しません）
・ハブリング（PFS仕様サイズのみ付属）

",/assets/img/tire_wheel/wheel/img/logo.gif,BBS,"[{""image"": ""tire_wheel/wheel/bbs/img/ri_d_ds.jpg"", ""image_alt"": ""ダイヤモンドシルバー（DS）""}]"
tire_wheel/wheel/bbs/ri_s.html,,KTS-web タイヤ・ホイール館 BBS,KTSではBBS製ホイールの販売を行っております。アライメント調整を含むお得なセットメニューもございます。,"BBS,ホイール,RI-S,アルミニウム,販売,装着",Forged aluminium 2piece RI-S,tire_wheel/wheel/bbs/bbs_ri_s.pdf,"
【カラーバリエーション】
・DS-SLD=ディスク：ダイヤモンドシルバー/リム：シルバーダイヤカット
・DB-SLD=ディスク：ダイヤモンドブラック/リム：シルバーダイヤカット
・MB-SLD=ディスク：マットブラック/リム：シルバーダイヤカット
【付属部品】
・センターエンブレム
・バルブ
・ボルト/ナット
・ハブリング（PFS仕様サイズのみ付属）

",/assets/img/tire_wheel/wheel/img/logo.gif,BBS,"[{""image"": ""tire_wheel/wheel/bbs/img/ri_s_ds_sld.jpg"", ""image_alt"": ""ディスク：ダイヤモンドシルバー/リム：シルバーダイヤカット（DS-SLD）""}]"
